"Candidate" "Thermometer"
"Clinton" 71
"Clinton" 51
"Clinton" 50
"Clinton" 0
"Clinton" 55
"Clinton" 61
"Clinton" 4
"Clinton" 3
"Clinton" 3
"Clinton" 35
"Clinton" 29
"Clinton" 80
"Clinton" 100
"Clinton" 0
"Clinton" 59
"Clinton" 84
"Clinton" 46
"Clinton" 70
"Clinton" 0
"Clinton" 31
"Clinton" 91
"Clinton" 60
"Clinton" 10
"Clinton" 4
"Clinton" 1
"Clinton" 3
"Clinton" 4
"Clinton" 59
"Clinton" 100
"Clinton" 97
"Clinton" 86
"Clinton" 4
"Clinton" 71
"Clinton" 6
"Clinton" 0
"Clinton" 65
"Clinton" 4
"Clinton" 40
"Clinton" 1
"Clinton" 12
"Clinton" 0
"Clinton" 70
"Clinton" 100
"Clinton" 0
"Clinton" 0
"Clinton" 66
"Clinton" 1
"Clinton" 0
"Clinton" 100
"Clinton" 85
"Clinton" 33
"Clinton" 1
"Clinton" 0
"Clinton" 24
"Clinton" 0
"Clinton" 41
"Clinton" 0
"Clinton" 6
"Clinton" 75
"Clinton" 0
"Clinton" 61
"Clinton" 1
"Clinton" 0
"Clinton" 1
"Clinton" 12
"Clinton" 100
"Clinton" 1
"Clinton" 13
"Clinton" 0
"Clinton" 73
"Clinton" 9
"Clinton" 75
"Clinton" 42
"Clinton" 6
"Clinton" 0
"Clinton" 0
"Clinton" 88
"Clinton" 70
"Clinton" 12
"Clinton" 24
"Clinton" 3
"Clinton" 0
"Clinton" 0
"Clinton" 1
"Clinton" 35
"Clinton" 9
"Clinton" 15
"Clinton" 97
"Clinton" 95
"Clinton" 61
"Clinton" 4
"Clinton" 8
"Clinton" 85
"Clinton" 0
"Clinton" 54
"Clinton" 4
"Clinton" 4
"Clinton" 0
"Clinton" 63
"Clinton" 65
"Clinton" 0
"Clinton" 89
"Clinton" 8
"Clinton" 16
"Clinton" 4
"Clinton" 11
"Clinton" 0
"Clinton" 50
"Clinton" 30
"Clinton" 47
"Clinton" 100
"Clinton" 1
"Clinton" 0
"Clinton" 1
"Clinton" 75
"Clinton" 1
"Clinton" 80
"Clinton" 2
"Clinton" 49
"Clinton" 0
"Clinton" 0
"Clinton" 33
"Clinton" 98
"Clinton" 0
"Clinton" 79
"Clinton" 1
"Clinton" 89
"Clinton" 0
"Clinton" 49
"Clinton" 40
"Clinton" 3
"Clinton" 96
"Clinton" 98
"Clinton" 55
"Clinton" 89
"Clinton" 80
"Clinton" 0
"Clinton" 86
"Clinton" 4
"Clinton" 0
"Clinton" 94
"Clinton" 91
"Clinton" 0
"Clinton" 2
"Clinton" 59
"Clinton" 95
"Clinton" 12
"Clinton" 98
"Clinton" 3
"Clinton" 5
"Clinton" 1
"Clinton" 73
"Clinton" 90
"Clinton" 62
"Clinton" 36
"Clinton" 80
"Clinton" 67
"Clinton" 5
"Clinton" 0
"Clinton" 1
"Clinton" 100
"Clinton" 1
"Clinton" 31
"Clinton" 71
"Clinton" 1
"Clinton" 6
"Clinton" 0
"Clinton" 51
"Clinton" 88
"Clinton" 91
"Clinton" 6
"Clinton" 18
"Clinton" 100
"Clinton" 30
"Clinton" 3
"Clinton" 41
"Clinton" 65
"Clinton" 52
"Clinton" 70
"Clinton" 69
"Clinton" 0
"Clinton" 2
"Clinton" 98
"Clinton" 0
"Clinton" 52
"Clinton" 0
"Clinton" 85
"Clinton" 52
"Clinton" 1
"Clinton" 2
"Clinton" 20
"Clinton" 97
"Clinton" 0
"Clinton" 71
"Clinton" 0
"Clinton" 11
"Clinton" 1
"Clinton" 0
"Clinton" 71
"Clinton" 64
"Clinton" 50
"Clinton" 2
"Clinton" 100
"Clinton" 1
"Clinton" 81
"Clinton" 83
"Clinton" 99
"Clinton" 1
"Clinton" 2
"Clinton" 75
"Clinton" 10
"Clinton" 60
"Clinton" 94
"Clinton" 61
"Clinton" 49
"Clinton" 93
"Clinton" 1
"Clinton" 96
"Clinton" 9
"Clinton" 65
"Clinton" 97
"Clinton" 1
"Clinton" 0
"Clinton" 1
"Clinton" 6
"Clinton" 97
"Clinton" 100
"Clinton" 100
"Clinton" 0
"Clinton" 0
"Clinton" 90
"Clinton" 60
"Clinton" 44
"Clinton" 60
"Clinton" 0
"Clinton" 1
"Clinton" 82
"Clinton" 0
"Clinton" 64
"Clinton" 74
"Clinton" 41
"Clinton" 21
"Clinton" 30
"Clinton" 0
"Clinton" 85
